sdbid,label
sdb-v1-000910.66+590859.3,debris
sdb-v1-003921.81+211501.7,star
sdb-v1-004906.29+574854.7,star
#sdb-v1-013647.84+412419.6,debris
sdb-v1-014229.76+201606.6,star
sdb-v1-014404.08-155614.9,debris
sdb-v1-024411.98+491342.6,star
#sdb-v1-033255.85-092729.7,debris
sdb-v1-033652.38+002406.0,debris
sdb-v1-044950.41+065740.6,star
sdb-v1-054657.34-144919.0,debris
sdb-v1-055624.29-141003.7,debris
sdb-v1-064517.36+125344.1,star
sdb-v1-071805.58+163225.4,star
#sdb-v1-081823.95-123755.8,star
sdb-v1-082539.63-035423.1,debris
sdb-v1-110150.48+562256.7,debris
sdb-v1-111406.50+203125.4,star
sdb-v1-114903.58+143419.6,debris
sdb-v1-115041.72+014553.0,star
sdb-v1-121525.56+570157.4,star
sdb-v1-123204.23-161145.6,debris
sdb-v1-132825.81+134643.6,debris
sdb-v1-141600.88-060002.1,star
sdb-v1-143440.82+294442.5,debris
#sdb-v1-145123.38+190601.7,star
sdb-v1-154626.62+072111.0,star
sdb-v1-155113.93+353926.6,debris
sdb-v1-155240.54+422705.5,star
#sdb-v1-155627.18+153941.8,star
sdb-v1-174627.51+274314.4,star
sdb-v1-174753.56+024226.2,debris
sdb-v1-180527.36+022958.7,star
sdb-v1-183656.34+384701.3,debris
sdb-v1-184539.73+203246.7,star
sdb-v1-190524.61+135148.5,star
sdb-v1-193221.59+693940.2,star
sdb-v1-195046.99+085206.0,star
sdb-v1-210653.85+384458.0,star
#sdb-v1-210655.27+384431.3,star
sdb-v1-211834.77+623508.1,star
sdb-v1-221502.15+570236.8,debris
