sdbid,label
# merge class 0, class I, flat spectrum into class I
sdb-v1-053435.42-053959.0,class I
sdb-v1-053509.01-055827.5,class I
sdb-v1-053513.43-055758.2,class I
#sdb-v1-053518.98-050051.6,class I
#sdb-v1-053519.46-051532.8,class I
#sdb-v1-053520.15-051315.6,class I
#sdb-v1-053522.45-050114.1,class I
#sdb-v1-053524.30-050830.7,class I
#sdb-v1-053524.78-051029.6,class I
#sdb-v1-053526.57-050355.1,class I
#sdb-v1-053526.84-050924.5,class I
#sdb-v1-053527.62-050933.8,class I
#sdb-v1-053528.19-050341.2,class I
#sdb-v1-053529.84-045951.0,class I
sdb-v1-053618.93-064522.7,class I
sdb-v1-053622.84-064606.2,class I
#sdb-v1-053623.54-064614.5,class I
sdb-v1-053625.13-064441.9,class I
sdb-v1-053700.48-063710.3,class I
sdb-v1-053846.53-070537.5,class I
sdb-v1-053955.95-073028.0,class I
#sdb-v1-054058.40-080536.1,class I
#sdb-v1-054126.35-021821.1,class I
#sdb-v1-054129.40-022117.1,class I
sdb-v1-054227.68-012001.0,class I
#sdb-v1-054245.20-011614.2,class I
sdb-v1-054247.07-081706.9,class I
sdb-v1-054248.49-081634.7,class I
#sdb-v1-054700.90+002620.8,class I
sdb-v1-054701.61+001759.4,class I
#sdb-v1-054724.80+002058.2,class I
sdb-v1-054759.07+003532.4,class I
#sdb-v1-054807.70+003350.8,class I
