sdbid,label
# convert class III to star
sdb-v1-041314.15+281910.8,star
sdb-v1-041353.23+281123.3,class I
sdb-v1-041354.72+281132.3,class I
sdb-v1-041357.38+291819.3,class I
#sdb-v1-041411.89+281153.5,class II
sdb-v1-041412.22+280837.3,class I
sdb-v1-041414.59+282758.0,class II
sdb-v1-041417.01+281057.8,class II
sdb-v1-041417.61+280609.6,class I
sdb-v1-041426.32+280601.6,class I
sdb-v1-041430.55+280514.6,class I
sdb-v1-041447.31+264626.6,class II
sdb-v1-041447.87+264811.0,class II
sdb-v1-041449.29+281230.5,class II
sdb-v1-041505.16+280846.1,star
#sdb-v1-041514.74+280009.4,star
sdb-v1-041524.11+291043.4,star
#sdb-v1-041612.11+275638.5,class II
#sdb-v1-041618.85+275215.4,star
sdb-v1-041628.11+280735.6,star
#sdb-v1-041639.12+285849.1,class II
sdb-v1-041733.72+282046.7,class II
sdb-v1-041738.94+283300.6,star
sdb-v1-041749.55+281331.8,class II
sdb-v1-041749.65+282936.3,class II
sdb-v1-041807.96+282603.6,star
sdb-v1-041817.14+282841.2,class II
#sdb-v1-041822.32+282437.1,class II
#sdb-v1-041829.02+282619.3,class II
sdb-v1-041830.31+274320.7,star
sdb-v1-041831.10+282716.1,star
sdb-v1-041831.12+281629.0,class II
sdb-v1-041831.58+281658.5,class II
sdb-v1-041832.02+283115.2,class I
sdb-v1-041834.42+283030.2,class I
#sdb-v1-041840.22+282424.1,class II
sdb-v1-041841.33+282725.2,class I
#sdb-v1-041842.49+281849.8,class II
#sdb-v1-041845.02+282052.1,class I
sdb-v1-041847.01+282007.9,star
sdb-v1-041851.12+281433.4,debris
sdb-v1-041851.48+282026.3,class I
sdb-v1-041858.14+281223.5,class I
sdb-v1-041901.10+281942.3,transition
#sdb-v1-041901.22+280248.1,class II
sdb-v1-041901.97+282233.1,star
sdb-v1-041912.81+282933.0,class II
sdb-v1-041935.46+282721.7,class II
sdb-v1-041941.27+274948.3,star
#sdb-v1-041942.53+271336.1,class I
sdb-v1-041958.42+270957.2,class I
sdb-v1-042025.56+270035.6,class II
sdb-v1-042039.19+271731.8,star
sdb-v1-042107.95+270220.4,class I
sdb-v1-042110.32+270137.2,class I
sdb-v1-042111.42+270109.1,class I
sdb-v1-042134.60+270138.8,class II
#sdb-v1-042146.32+265929.4,class II
#sdb-v1-042154.53+265231.1,class II
sdb-v1-042155.63+275506.0,class II
sdb-v1-042200.62+265732.4,class I
sdb-v1-042202.17+265731.7,class I
sdb-v1-042203.13+282539.0,star
sdb-v1-042216.44+254911.7,star
#sdb-v1-042216.77+265457.1,class II
sdb-v1-042224.05+264625.9,star
sdb-v1-042307.77+280557.3,class I
sdb-v1-042339.23+245614.1,class II
#sdb-v1-042426.46+264950.3,class II
sdb-v1-042444.58+261014.1,class II
#sdb-v1-042445.06+270144.7,star
#sdb-v1-042449.04+264310.3,star
sdb-v1-042457.08+271156.5,class II
sdb-v1-042517.65+261750.0,star
sdb-v1-042629.39+262413.8,class II
#sdb-v1-042630.53+244355.2,class II
sdb-v1-042653.54+260654.4,class I
#sdb-v1-042654.39+260651.2,class II
sdb-v1-042656.23+244335.4,class I
sdb-v1-042657.32+260628.6,class II
sdb-v1-042702.64+260531.3,class I
#sdb-v1-042727.94+261205.4,class II
sdb-v1-042745.34+235724.1,star
sdb-v1-042757.30+261918.4,class I
sdb-v1-042838.93+265135.3,class I
sdb-v1-042842.63+271403.9,class II
#sdb-v1-042900.62+275503.4,class II
sdb-v1-042904.99+264907.3,class I
sdb-v1-042920.72+263340.6,star
sdb-v1-042921.64+270125.9,class II
sdb-v1-042923.77+243259.4,class I
sdb-v1-042930.08+243955.0,class I
#sdb-v1-042942.47+263249.1,star
sdb-v1-042945.68+263046.7,star
sdb-v1-042951.51+260645.3,class II
sdb-v1-042959.51+243307.8,class II
#sdb-v1-043007.25+260820.8,class II
#sdb-v1-043023.62+235912.1,star
sdb-v1-043029.61+242645.1,class II
sdb-v1-043050.30+230008.9,class I
sdb-v1-043057.12+255639.1,class II
sdb-v1-043119.03+233504.2,star
sdb-v1-043126.62+270318.4,star
sdb-v1-043158.45+254330.0,star
sdb-v1-043203.29+252807.8,star
sdb-v1-043215.40+242859.6,class I
sdb-v1-043217.86+242215.0,star
sdb-v1-043223.30+240301.4,star
sdb-v1-043230.57+241957.4,class II
sdb-v1-043231.76+242003.0,class II
sdb-v1-043232.02+225726.3,class I
sdb-v1-043242.94+255231.2,class II
sdb-v1-043249.14+225303.8,class II
sdb-v1-043250.23+242211.3,star
sdb-v1-043301.98+242100.1,star
sdb-v1-043306.24+240934.1,class II
sdb-v1-043306.63+240955.0,class II
sdb-v1-043307.81+261606.7,star
sdb-v1-043309.46+224648.7,class II
sdb-v1-043310.03+243343.3,star
#sdb-v1-043314.37+261424.2,class I
sdb-v1-043316.49+225320.4,class I
sdb-v1-043319.07+224634.2,class I
#sdb-v1-043334.06+242117.1,class II
sdb-v1-043334.57+242105.9,class II
sdb-v1-043336.80+260949.1,class II
sdb-v1-043339.10+252038.6,class II
sdb-v1-043342.94+252647.4,star
sdb-v1-043352.02+225030.0,class II
sdb-v1-043352.51+225627.6,star
sdb-v1-043354.70+261327.3,class II
sdb-v1-043415.22+225030.1,star
sdb-v1-043439.28+250101.0,star
sdb-v1-043455.42+242853.0,class II
sdb-v1-043508.51+231139.8,star
sdb-v1-043520.23+223214.6,transition
sdb-v1-043520.90+225424.2,star
sdb-v1-043527.38+241458.9,class II
sdb-v1-043535.33+240819.3,class I
sdb-v1-043540.94+241109.4,class II
sdb-v1-043541.84+223411.6,star
#sdb-v1-043545.22+273713.1,star
sdb-v1-043547.34+225021.5,class II
sdb-v1-043551.10+225240.1,star
sdb-v1-043551.43+224911.3,star
sdb-v1-043552.12+225503.8,star
sdb-v1-043552.78+225423.1,class I
sdb-v1-043552.87+225058.5,star
sdb-v1-043553.42+225408.3,star
sdb-v1-043554.15+225413.5,star
sdb-v1-043556.84+225435.9,class II
sdb-v1-043558.93+223835.2,star
#sdb-v1-043610.30+215936.5,class II
#sdb-v1-043610.36+225955.8,class II
sdb-v1-043619.09+254259.0,star
sdb-v1-043638.93+225811.3,star
sdb-v1-043649.12+241258.9,debris
sdb-v1-043800.84+255857.3,star
sdb-v1-043814.83+261139.1,class I
sdb-v1-043815.63+230227.5,star
sdb-v1-043821.34+260913.8,class II
sdb-v1-043828.59+261049.6,class II
sdb-v1-043835.29+261039.1,star
#sdb-v1-043835.42+261041.2,class I
#sdb-v1-043858.60+233635.2,class II
sdb-v1-043906.38+233417.9,star
sdb-v1-043913.82+255320.4,class I
sdb-v1-043920.92+254502.0,class II
sdb-v1-043935.14+254144.2,class I
sdb-v1-043947.48+260140.8,class II
sdb-v1-043953.93+260309.4,class I
sdb-v1-043955.75+254502.0,class I
sdb-v1-044001.73+255629.4,star
sdb-v1-044008.00+260525.4,class II
sdb-v1-044039.79+251906.1,transition
sdb-v1-044104.25+255756.0,star
sdb-v1-044108.26+255607.5,class I
sdb-v1-044110.78+255511.6,class II
sdb-v1-044112.62+254635.4,class I
sdb-v1-044138.83+255627.2,class I
sdb-v1-044148.25+253430.6,class II
sdb-v1-044205.50+252256.5,debris
#sdb-v1-044207.33+252303.3,star
sdb-v1-044207.73+252311.7,class II
sdb-v1-044221.02+252034.4,class II
sdb-v1-044237.69+251537.3,class II
sdb-v1-044303.08+252018.7,class II
sdb-v1-044427.13+251216.4,class II
sdb-v1-044642.61+245903.4,star
