sdbid,label
sdb-v1-000552.54-414511.0,debris
sdb-v1-000650.09-230627.1,debris
sdb-v1-000825.75+063700.5,debris
sdb-v1-003243.91-630153.4,debris
sdb-v1-003856.70-523203.4,debris
sdb-v1-013437.78-154034.9,debris
sdb-v1-014024.07-605956.6,debris
#sdb-v1-014422.81+323057.2,debris
sdb-v1-020726.13-594045.9,debris
sdb-v1-021724.74+284430.4,debris
sdb-v1-022729.25+305824.6,debris
sdb-v1-022809.98+294009.6,debris
sdb-v1-023907.56-525605.3,debris
sdb-v1-024645.10-213822.3,debris
sdb-v1-033153.65-253650.9,debris
sdb-v1-033529.90+311337.5,debris
sdb-v1-034811.47-744138.8,debris
sdb-v1-040236.74-001608.1,debris
sdb-v1-045404.21-352416.3,debris
sdb-v1-052430.17-385810.8,debris
#sdb-v1-053014.00-424150.4,debris
sdb-v1-053739.63-283734.7,debris
sdb-v1-054320.96-201121.4,debris
sdb-v1-054321.67-183326.9,debris
sdb-v1-055752.60-342834.0,debris
#sdb-v1-064613.54-835929.5,debris
sdb-v1-073426.17-065348.0,debris
#sdb-v1-081823.95-123755.8,debris
sdb-v1-082625.21-524827.0,debris
sdb-v1-083750.30-064824.8,debris
sdb-v1-085735.20+153452.6,debris
sdb-v1-091727.57-744404.5,debris
sdb-v1-093450.74-120746.4,debris
sdb-v1-093617.82-782041.6,debris
sdb-v1-122224.86-510134.3,debris
sdb-v1-130615.40+204345.2,debris
sdb-v1-130916.19-601830.0,debris
sdb-v1-135040.22-311223.1,debris
sdb-v1-140231.64+313939.1,debris
sdb-v1-150714.94-293016.1,debris
sdb-v1-151559.17+004746.9,debris
sdb-v1-154011.55-701340.4,debris
sdb-v1-160926.63+113428.1,debris
sdb-v1-172406.59+225737.0,debris
sdb-v1-180303.41-513856.4,debris
sdb-v1-184526.90-645216.5,debris
sdb-v1-192251.21-542526.2,debris
sdb-v1-192656.48-294435.6,debris
sdb-v1-201815.79-425136.3,debris
sdb-v1-210756.52+072558.6,debris
sdb-v1-213721.11-182628.2,debris
sdb-v1-214521.91-124700.1,debris
sdb-v1-224804.47-242207.9,debris
sdb-v1-230812.37-633741.4,debris
sdb-v1-233536.15+082257.4,debris
