sdbid,label
sdb-v1-000825.75+063700.5,debris
sdb-v1-001706.37+405653.9,debris
sdb-v1-003427.17-063014.1,debris
sdb-v1-003601.85-053414.6,debris
sdb-v1-011216.82+794026.3,debris
sdb-v1-011629.25+425621.9,debris
sdb-v1-012834.36+421603.7,debris
sdb-v1-013437.78-154034.9,debris
sdb-v1-014229.32-534427.0,debris
sdb-v1-014404.08-155614.9,debris
#sdb-v1-014422.81+323057.2,debris
sdb-v1-020932.63+345914.3,debris
sdb-v1-021718.87+335049.9,debris
sdb-v1-022616.25+061733.2,debris
sdb-v1-022809.98+294009.6,debris
sdb-v1-023255.81+372001.0,debris
#sdb-v1-024456.54+100650.9,debris
#sdb-v1-024457.58+122644.7,debris
sdb-v1-024645.10-213822.3,debris
#sdb-v1-030810.13+405720.3,debris
sdb-v1-033153.65-253650.9,debris
sdb-v1-033529.90+311337.5,debris
sdb-v1-040236.74-001608.1,debris
sdb-v1-040356.60+081150.2,debris
sdb-v1-042800.78+213711.7,debris
sdb-v1-042850.16+130251.4,debris
sdb-v1-044649.53-261808.8,debris
sdb-v1-044736.29-165604.0,debris
sdb-v1-045404.21-352416.3,debris
sdb-v1-045453.73+100903.0,debris
sdb-v1-051146.45+042412.7,debris
sdb-v1-051543.90-225339.7,debris
sdb-v1-052430.17-385810.8,debris
sdb-v1-052636.59-222923.8,debris
sdb-v1-053324.07-392704.6,debris
sdb-v1-053739.63-283734.7,debris
sdb-v1-053931.15-033352.9,debris
sdb-v1-054321.67-183326.9,debris
sdb-v1-054657.34-144919.0,debris
sdb-v1-054717.09-510359.4,debris
sdb-v1-054834.94-040540.7,debris
sdb-v1-055752.60-342834.0,debris
sdb-v1-062443.88-284648.4,debris
sdb-v1-064644.34+433438.7,debris
#sdb-v1-065132.39+472204.1,debris
sdb-v1-072304.61+181624.3,debris
sdb-v1-073547.46-321214.0,debris
sdb-v1-082348.50+531311.0,debris
sdb-v1-083750.30-064824.8,debris
sdb-v1-083911.71+650115.3,debris
#sdb-v1-085200.35+660753.4,debris
sdb-v1-085306.10+522324.8,debris
sdb-v1-085714.95+151922.0,debris
sdb-v1-085735.20+153452.6,debris
sdb-v1-093450.74-120746.4,debris
sdb-v1-094902.85+340507.4,debris
sdb-v1-095216.77+491126.9,debris
#sdb-v1-103313.89+402532.0,debris
#sdb-v1-103647.84+474312.5,debris
sdb-v1-104230.07-334016.5,debris
sdb-v1-104328.27-290351.4,debris
sdb-v1-110150.48+562256.7,debris
sdb-v1-110224.45-264953.4,debris
sdb-v1-112117.24-344645.5,debris
sdb-v1-112205.29-244639.5,debris
sdb-v1-114903.58+143419.6,debris
#sdb-v1-115041.72+014553.0,debris
sdb-v1-120433.73+662011.7,debris
sdb-v1-121906.50+163253.9,debris
sdb-v1-123204.23-161145.6,debris
sdb-v1-123601.03-395210.2,debris
sdb-v1-124153.06+101408.2,debris
#sdb-v1-125043.57-004605.3,debris
sdb-v1-130146.93+633636.8,debris
sdb-v1-131824.32-181840.3,debris
sdb-v1-140231.64+313939.1,debris
sdb-v1-141623.02+460517.9,debris
sdb-v1-142033.43-375307.1,debris
sdb-v1-143046.07+631108.8,debris
sdb-v1-143204.67+381829.7,debris
sdb-v1-143440.82+294442.5,debris
#sdb-v1-145544.71-335120.8,debris
#sdb-v1-151429.16+290951.5,debris
sdb-v1-151559.17+004746.9,debris
sdb-v1-151926.83-074320.2,debris
sdb-v1-153441.25+264253.1,debris
#sdb-v1-153901.06-001841.4,debris
sdb-v1-154856.80-034906.6,debris
sdb-v1-160217.69+224816.0,debris
sdb-v1-163406.18+422613.2,debris
#sdb-v1-164038.69+041311.3,debris
sdb-v1-164136.70+265500.8,debris
sdb-v1-164227.81+495611.2,debris
sdb-v1-172406.59+225737.0,debris
sdb-v1-172500.10+671824.1,debris
sdb-v1-172849.65+001950.2,debris
sdb-v1-173805.52-543001.6,debris
sdb-v1-174753.56+024226.2,debris
sdb-v1-183300.92-395331.3,debris
sdb-v1-183656.34+384701.3,debris
sdb-v1-192258.94-543217.0,debris
sdb-v1-192656.48-294435.6,debris
sdb-v1-200905.21-261326.5,debris
sdb-v1-201416.62+151151.4,debris
sdb-v1-204509.53-312027.2,debris
#sdb-v1-211715.27-385202.5,debris
sdb-v1-213721.11-182628.2,debris
sdb-v1-214521.91-124700.1,debris
sdb-v1-214815.75-471813.0,debris
sdb-v1-220232.96-320801.5,debris
sdb-v1-222614.44-024720.3,debris
sdb-v1-223235.48+201348.1,debris
sdb-v1-225739.04-293719.8,debris
sdb-v1-230728.72+210803.3,debris
sdb-v1-233536.15+082257.4,debris
